"UNITID","Students","Demographic"
138275,513,"men"
138275,501,"women"
138284,225,"men"
138284,316,"women"
138293,669,"men"
138293,338,"women"
138309,903,"men"
138309,5989,"women"
138354,7103,"men"
138354,11308,"women"
138372,932,"men"
138372,587,"women"
138479,850,"men"
138479,586,"women"
138488,1782,"men"
138488,1101,"women"
138497,380,"men"
138497,187,"women"
138558,1715,"men"
138558,2656,"women"
138600,27,"men"
138600,1160,"women"
138655,544,"men"
138655,228,"women"
138664,59,"men"
138664,99,"women"
138682,1284,"men"
138682,2773,"women"
138716,1976,"men"
138716,5830,"women"
138761,152,"men"
138761,214,"women"
138822,40,"men"
138822,847,"women"
138840,2068,"men"
138840,3533,"women"
138868,1641,"men"
138868,1944,"women"
138901,996,"men"
138901,1626,"women"
138929,125,"men"
138929,227,"women"
138947,1080,"men"
138947,3314,"women"
138956,2198,"men"
138956,3917,"women"
139144,903,"men"
139144,1561,"women"
139153,212,"men"
139153,256,"women"
139199,442,"men"
139199,2613,"women"
139205,834,"men"
139205,536,"women"
139250,1218,"men"
139250,2783,"women"
139278,3088,"men"
139278,6363,"women"
139311,2182,"men"
139311,5013,"women"
139348,75,"men"
139348,110,"women"
139357,1401,"men"
139357,3264,"women"
139366,3689,"men"
139366,5471,"women"
139384,3240,"men"
139384,5775,"women"
139393,474,"men"
139393,532,"women"
139463,2123,"men"
139463,3584,"women"
139506,41,"men"
139506,30,"women"
139579,278,"men"
139579,919,"women"
139621,939,"men"
139621,1237,"women"
139630,519,"men"
